"Plot Title: Riggert"
"#","Date Time, GMT-07:00","AC Curr, Amps (LGR S/N: 10047347, SEN S/N: 10047347, LBL: SFan)","End Of File (LGR S/N: 10047347)"
205,07/06/16 12:55:44 AM,0.059,
206,07/06/16 12:58:44 AM,0.063,
207,07/06/16 01:01:44 AM,0.068,
208,07/06/16 01:04:44 AM,0.063,
209,07/06/16 01:07:44 AM,0.059,
210,07/06/16 01:10:44 AM,0.059,
211,07/06/16 01:13:44 AM,0.059,
212,07/06/16 01:16:44 AM,0.059,
213,07/06/16 01:19:44 AM,0.059,
214,07/06/16 01:22:44 AM,0.059,
215,07/06/16 01:25:44 AM,0.093,
216,07/06/16 01:28:44 AM,0.059,
217,07/06/16 01:31:44 AM,0.059,
218,07/06/16 01:34:44 AM,0.059,
219,07/06/16 01:37:44 AM,0.059,
220,07/06/16 01:40:44 AM,0.059,
221,07/06/16 01:43:44 AM,0.059,
222,07/06/16 01:46:44 AM,0.059,
223,07/06/16 01:49:44 AM,0.059,
224,07/06/16 01:52:44 AM,0.059,
225,07/06/16 01:55:44 AM,0.059,
226,07/06/16 01:58:44 AM,0.059,
227,07/06/16 02:01:44 AM,0.059,
228,07/06/16 02:04:44 AM,0.059,
229,07/06/16 02:07:44 AM,0.059,
230,07/06/16 02:10:44 AM,0.059,
231,07/06/16 02:13:44 AM,0.059,
232,07/06/16 02:16:44 AM,0.059,
233,07/06/16 02:19:44 AM,0.059,
234,07/06/16 02:22:44 AM,0.059,
235,07/06/16 02:25:44 AM,0.059,
236,07/06/16 02:28:44 AM,0.059,
237,07/06/16 02:31:44 AM,0.059,
238,07/06/16 02:34:44 AM,0.063,
239,07/06/16 02:37:44 AM,0.059,
240,07/06/16 02:40:44 AM,0.059,
241,07/06/16 02:43:44 AM,0.059,
242,07/06/16 02:46:44 AM,0.059,
243,07/06/16 02:49:44 AM,0.059,
244,07/06/16 02:52:44 AM,0.059,
245,07/06/16 02:55:44 AM,0.059,
246,07/06/16 02:58:44 AM,0.059,
247,07/06/16 03:01:44 AM,0.059,
248,07/06/16 03:04:44 AM,0.063,
249,07/06/16 03:07:44 AM,0.059,
250,07/06/16 03:10:44 AM,0.059,
251,07/06/16 03:13:44 AM,0.059,
252,07/06/16 03:16:44 AM,0.059,
253,07/06/16 03:19:44 AM,0.059,
254,07/06/16 03:22:44 AM,0.059,
255,07/06/16 03:25:44 AM,0.059,
256,07/06/16 03:28:44 AM,0.059,
257,07/06/16 03:31:44 AM,0.059,
258,07/06/16 03:34:44 AM,0.059,
259,07/06/16 03:37:44 AM,0.063,
260,07/06/16 03:40:44 AM,0.059,
261,07/06/16 03:43:44 AM,0.059,
262,07/06/16 03:46:44 AM,0.063,
263,07/06/16 03:49:44 AM,0.059,
264,07/06/16 03:52:44 AM,0.059,
265,07/06/16 03:55:44 AM,0.059,
266,07/06/16 03:58:44 AM,0.063,
267,07/06/16 04:01:44 AM,0.059,
268,07/06/16 04:04:44 AM,0.059,
269,07/06/16 04:07:44 AM,0.059,
270,07/06/16 04:10:44 AM,0.059,
271,07/06/16 04:13:44 AM,0.059,
272,07/06/16 04:16:44 AM,0.059,
273,07/06/16 04:19:44 AM,0.063,
274,07/06/16 04:22:44 AM,0.063,
275,07/06/16 04:25:44 AM,0.059,
276,07/06/16 04:28:44 AM,0.063,
277,07/06/16 04:31:44 AM,0.059,
278,07/06/16 04:34:44 AM,0.063,
279,07/06/16 04:37:44 AM,0.063,
280,07/06/16 04:40:44 AM,0.063,
281,07/06/16 04:43:44 AM,0.063,
282,07/06/16 04:46:44 AM,0.063,
283,07/06/16 04:49:44 AM,0.059,
284,07/06/16 04:52:44 AM,0.059,
285,07/06/16 04:55:44 AM,0.063,
286,07/06/16 04:58:44 AM,0.063,
287,07/06/16 05:01:44 AM,0.063,
288,07/06/16 05:04:44 AM,0.059,
289,07/06/16 05:07:44 AM,0.063,
290,07/06/16 05:10:44 AM,0.063,
291,07/06/16 05:13:44 AM,0.063,
292,07/06/16 05:16:44 AM,0.063,
293,07/06/16 05:19:44 AM,0.063,
294,07/06/16 05:22:44 AM,0.063,
295,07/06/16 05:25:44 AM,0.063,
296,07/06/16 05:28:44 AM,0.063,
297,07/06/16 05:31:44 AM,0.063,
298,07/06/16 05:34:44 AM,0.063,
299,07/06/16 05:37:44 AM,0.063,
300,07/06/16 05:40:44 AM,0.063,
301,07/06/16 05:43:44 AM,0.063,
302,07/06/16 05:46:44 AM,0.063,
303,07/06/16 05:49:44 AM,0.063,
304,07/06/16 05:52:44 AM,0.063,
305,07/06/16 05:55:44 AM,0.063,
306,07/06/16 05:58:44 AM,0.063,
307,07/06/16 06:01:44 AM,0.063,
308,07/06/16 06:04:44 AM,0.063,
309,07/06/16 06:07:44 AM,0.063,
310,07/06/16 06:10:44 AM,0.063,
311,07/06/16 06:13:44 AM,0.063,
312,07/06/16 06:16:44 AM,0.063,
313,07/06/16 06:19:44 AM,0.063,
314,07/06/16 06:22:44 AM,0.063,
315,07/06/16 06:25:44 AM,0.063,
316,07/06/16 06:28:44 AM,0.063,
317,07/06/16 06:31:44 AM,0.063,
318,07/06/16 06:34:44 AM,0.063,
319,07/06/16 06:37:44 AM,0.063,
320,07/06/16 06:40:44 AM,0.063,
321,07/06/16 06:43:44 AM,0.063,
322,07/06/16 06:46:44 AM,0.063,
323,07/06/16 06:49:44 AM,0.063,
324,07/06/16 06:52:44 AM,0.063,
325,07/06/16 06:55:44 AM,0.063,
326,07/06/16 06:58:44 AM,0.063,
327,07/06/16 07:01:44 AM,0.063,
328,07/06/16 07:04:44 AM,0.063,
329,07/06/16 07:07:44 AM,0.063,
330,07/06/16 07:10:44 AM,0.063,
331,07/06/16 07:13:44 AM,0.063,
332,07/06/16 07:16:44 AM,0.063,
333,07/06/16 07:19:44 AM,0.063,
334,07/06/16 07:22:44 AM,0.063,
335,07/06/16 07:25:44 AM,0.063,
336,07/06/16 07:28:44 AM,0.063,
337,07/06/16 07:31:44 AM,0.063,
338,07/06/16 07:34:44 AM,0.063,
339,07/06/16 07:37:44 AM,0.063,
340,07/06/16 07:40:44 AM,0.063,
341,07/06/16 07:43:44 AM,0.063,
342,07/06/16 07:46:44 AM,0.063,
343,07/06/16 07:49:44 AM,0.063,
344,07/06/16 07:52:44 AM,0.063,
345,07/06/16 07:55:44 AM,0.063,
346,07/06/16 07:58:44 AM,0.063,
347,07/06/16 08:01:44 AM,0.063,
348,07/06/16 08:04:44 AM,0.063,
349,07/06/16 08:07:44 AM,0.063,
350,07/06/16 08:10:44 AM,0.063,
351,07/06/16 08:13:44 AM,0.063,
352,07/06/16 08:16:44 AM,0.063,
353,07/06/16 08:19:44 AM,0.063,
354,07/06/16 08:22:44 AM,0.063,
355,07/06/16 08:25:44 AM,0.063,
356,07/06/16 08:28:44 AM,0.063,
357,07/06/16 08:31:44 AM,0.063,
358,07/06/16 08:34:44 AM,0.063,
359,07/06/16 08:37:44 AM,0.063,
360,07/06/16 08:40:44 AM,0.063,
361,07/06/16 08:43:44 AM,0.059,
362,07/06/16 08:46:44 AM,0.063,
363,07/06/16 08:49:44 AM,0.063,
364,07/06/16 08:52:44 AM,0.063,
365,07/06/16 08:55:44 AM,0.063,
366,07/06/16 08:58:44 AM,0.063,
367,07/06/16 09:01:44 AM,0.063,
368,07/06/16 09:04:44 AM,0.059,
369,07/06/16 09:07:44 AM,0.063,
370,07/06/16 09:10:44 AM,0.059,
371,07/06/16 09:13:44 AM,0.059,
372,07/06/16 09:16:44 AM,0.059,
373,07/06/16 09:19:44 AM,0.059,
374,07/06/16 09:22:44 AM,0.059,
375,07/06/16 09:25:44 AM,0.059,
376,07/06/16 09:28:44 AM,0.059,
377,07/06/16 09:31:44 AM,0.059,
378,07/06/16 09:34:44 AM,0.059,
379,07/06/16 09:37:44 AM,0.059,
380,07/06/16 09:40:44 AM,0.059,
381,07/06/16 09:43:44 AM,0.059,
382,07/06/16 09:46:44 AM,0.059,
383,07/06/16 09:49:44 AM,0.059,
384,07/06/16 09:52:44 AM,0.059,
385,07/06/16 09:55:44 AM,0.059,
386,07/06/16 09:58:44 AM,0.059,
387,07/06/16 10:01:44 AM,0.059,
388,07/06/16 10:04:44 AM,0.059,
389,07/06/16 10:07:44 AM,0.059,
390,07/06/16 10:10:44 AM,0.059,
391,07/06/16 10:13:44 AM,0.059,
392,07/06/16 10:16:44 AM,0.059,
393,07/06/16 10:19:44 AM,0.059,
394,07/06/16 10:22:44 AM,0.059,
395,07/06/16 10:25:44 AM,0.059,
396,07/06/16 10:28:44 AM,0.059,
397,07/06/16 10:31:44 AM,0.059,
398,07/06/16 10:34:44 AM,0.059,
399,07/06/16 10:37:44 AM,0.059,
400,07/06/16 10:40:44 AM,0.059,
401,07/06/16 10:43:44 AM,0.059,
402,07/06/16 10:46:44 AM,0.059,
403,07/06/16 10:49:44 AM,0.059,
404,07/06/16 10:52:44 AM,0.059,
405,07/06/16 10:55:44 AM,0.059,
406,07/06/16 10:58:44 AM,0.059,
407,07/06/16 11:01:44 AM,0.059,
408,07/06/16 11:04:44 AM,0.059,
409,07/06/16 11:07:44 AM,0.059,
410,07/06/16 11:10:44 AM,0.059,
411,07/06/16 11:13:44 AM,0.059,
412,07/06/16 11:16:44 AM,0.059,
413,07/06/16 11:19:44 AM,0.059,
414,07/06/16 11:22:44 AM,0.059,
415,07/06/16 11:25:44 AM,0.059,
416,07/06/16 11:28:44 AM,0.059,
417,07/06/16 11:31:44 AM,0.059,
418,07/06/16 11:34:44 AM,0.059,
419,07/06/16 11:37:44 AM,0.054,
420,07/06/16 11:40:44 AM,0.059,
421,07/06/16 11:43:44 AM,0.059,
422,07/06/16 11:46:44 AM,0.059,
423,07/06/16 11:49:44 AM,0.059,
424,07/06/16 11:52:44 AM,0.059,
425,07/06/16 11:55:44 AM,11.985,
426,07/06/16 11:58:44 AM,0.063,
427,07/06/16 12:01:44 PM,0.059,
428,07/06/16 12:04:44 PM,0.059,
429,07/06/16 12:07:44 PM,0.059,
430,07/06/16 12:10:44 PM,0.059,
431,07/06/16 12:13:44 PM,0.059,
