Plot Title: 9730047			
#	"Date Time, GMT-07:00"	"AC Curr, Amps (LGR S/N: 9730047, SEN S/N: 9730047)"	End Of File (LGR S/N: 9730047)
233	7/6/2016 22:56	0.01	0
234	7/6/2016 22:59	0.01	0
235	7/6/2016 23:02	0.01	0
236	7/6/2016 23:05	0.01	0
237	7/6/2016 23:08	0.01	0
238	7/6/2016 23:11	0.01	0
239	7/6/2016 23:14	0.01	0
240	7/6/2016 23:17	0.01	0
241	7/6/2016 23:20	0.01	0
242	7/6/2016 23:23	0.01	0
243	7/6/2016 23:26	0.01	0
244	7/6/2016 23:29	0.01	0
245	7/6/2016 23:32	0.01	0
246	7/6/2016 23:35	0.01	0
247	7/6/2016 23:38	0.01	0
248	7/6/2016 23:41	0.01	0
249	7/6/2016 23:44	0.01	0
250	7/6/2016 23:47	0.01	0
251	7/6/2016 23:50	0.01	0
252	7/6/2016 23:53	0.01	0
253	7/6/2016 23:56	0.01	0
254	7/6/2016 23:59	0.01	0
255	7/7/2016 0:02	0.01	0
256	7/7/2016 0:05	0.01	0
257	7/7/2016 0:08	0.01	0
258	7/7/2016 0:11	0.01	0
259	7/7/2016 0:14	0.01	0
260	7/7/2016 0:17	0.01	0
261	7/7/2016 0:20	0.01	0
262	7/7/2016 0:23	0.01	0
263	7/7/2016 0:26	0.01	0
264	7/7/2016 0:29	0.01	0
265	7/7/2016 0:32	0.01	0
266	7/7/2016 0:35	0.01	0
267	7/7/2016 0:38	0.01	0
268	7/7/2016 0:41	0.01	0
269	7/7/2016 0:44	0.01	0
270	7/7/2016 0:47	0.01	0
271	7/7/2016 0:50	0.01	0
272	7/7/2016 0:53	0.01	0
273	7/7/2016 0:56	0.01	0
274	7/7/2016 0:59	0.01	0
275	7/7/2016 1:02	0.01	0
276	7/7/2016 1:05	0.01	0
277	7/7/2016 1:08	0.01	0
278	7/7/2016 1:11	0.01	0
279	7/7/2016 1:14	0.01	0
280	7/7/2016 1:17	0.01	0
281	7/7/2016 1:20	0.01	0
282	7/7/2016 1:23	0.01	0
283	7/7/2016 1:26	0.01	0
284	7/7/2016 1:29	0.01	0
285	7/7/2016 1:32	0.01	0
286	7/7/2016 1:35	0.01	0
287	7/7/2016 1:38	0.01	0
288	7/7/2016 1:41	0.01	0
289	7/7/2016 1:44	0.01	0
290	7/7/2016 1:47	0.01	0
291	7/7/2016 1:50	0.01	0
292	7/7/2016 1:53	0.01	0
293	7/7/2016 1:56	0.01	0
294	7/7/2016 1:59	0.01	0
295	7/7/2016 2:02	0.01	0
296	7/7/2016 2:05	0.01	0
297	7/7/2016 2:08	0.01	0
298	7/7/2016 2:11	0.01	0
299	7/7/2016 2:14	0.01	0
300	7/7/2016 2:17	0.01	0
301	7/7/2016 2:20	0.01	0
302	7/7/2016 2:23	0.01	0
303	7/7/2016 2:26	0.01	0
304	7/7/2016 2:29	0.01	0
305	7/7/2016 2:32	0.01	0
306	7/7/2016 2:35	0.01	0
307	7/7/2016 2:38	0.01	0
308	7/7/2016 2:41	0.01	0
309	7/7/2016 2:44	0.01	0
310	7/7/2016 2:47	0.01	0
311	7/7/2016 2:50	0.01	0
312	7/7/2016 2:53	0.01	0
313	7/7/2016 2:56	0.01	0
314	7/7/2016 2:59	0.01	0
315	7/7/2016 3:02	0.01	0
316	7/7/2016 3:05	0.01	0
317	7/7/2016 3:08	0.01	0
318	7/7/2016 3:11	0.01	0
319	7/7/2016 3:14	0.01	0
320	7/7/2016 3:17	0.01	0
321	7/7/2016 3:20	0.01	0
322	7/7/2016 3:23	0.01	0
323	7/7/2016 3:26	0.01	0
324	7/7/2016 3:29	0.01	0
325	7/7/2016 3:32	0.01	0
326	7/7/2016 3:35	0.01	0
327	7/7/2016 3:38	0.01	0
328	7/7/2016 3:41	0.01	0
329	7/7/2016 3:44	0.01	0
330	7/7/2016 3:47	0.01	0
331	7/7/2016 3:50	0.01	0
332	7/7/2016 3:53	0.01	0
333	7/7/2016 3:56	0.01	0
334	7/7/2016 3:59	0.01	0
335	7/7/2016 4:02	0.01	0
336	7/7/2016 4:05	0.01	0
337	7/7/2016 4:08	0.01	0
338	7/7/2016 4:11	0.01	0
339	7/7/2016 4:14	0.01	0
340	7/7/2016 4:17	0.01	0
341	7/7/2016 4:20	0.01	0
342	7/7/2016 4:23	0.01	0
343	7/7/2016 4:26	0.01	0
344	7/7/2016 4:29	0.01	0
345	7/7/2016 4:32	0.01	0
346	7/7/2016 4:35	0.01	0
347	7/7/2016 4:38	0.01	0
348	7/7/2016 4:41	0.01	0
349	7/7/2016 4:44	0.01	0
350	7/7/2016 4:47	0.01	0
351	7/7/2016 4:50	0.01	0
352	7/7/2016 4:53	0.01	0
353	7/7/2016 4:56	0.01	0
354	7/7/2016 4:59	0.01	0
355	7/7/2016 5:02	0.01	0
356	7/7/2016 5:05	0.01	0
357	7/7/2016 5:08	0.01	0
358	7/7/2016 5:11	0.01	0
359	7/7/2016 5:14	0.01	0
360	7/7/2016 5:17	0.01	0
361	7/7/2016 5:20	0.01	0
362	7/7/2016 5:23	0.01	0
363	7/7/2016 5:26	0.01	0
364	7/7/2016 5:29	0.01	0
365	7/7/2016 5:32	0.01	0
366	7/7/2016 5:35	0.01	0
367	7/7/2016 5:38	0.01	0
368	7/7/2016 5:41	0.01	0
369	7/7/2016 5:44	0.01	0
370	7/7/2016 5:47	0.01	0
371	7/7/2016 5:50	0.01	0
372	7/7/2016 5:53	0.01	0
373	7/7/2016 5:56	0.01	0
374	7/7/2016 5:59	0.01	0
375	7/7/2016 6:02	0.01	0
376	7/7/2016 6:05	0.01	0
377	7/7/2016 6:08	0.01	0
378	7/7/2016 6:11	0.01	0
379	7/7/2016 6:14	0.01	0
380	7/7/2016 6:17	0.01	0
381	7/7/2016 6:20	0.01	0
382	7/7/2016 6:23	0.01	0
383	7/7/2016 6:26	0.01	0
384	7/7/2016 6:29	0.01	0
385	7/7/2016 6:32	0.01	0
386	7/7/2016 6:35	0.01	0
387	7/7/2016 6:38	0.01	0
388	7/7/2016 6:41	0.01	0
389	7/7/2016 6:44	0.01	0
390	7/7/2016 6:47	0.01	0
391	7/7/2016 6:50	0.01	0
392	7/7/2016 6:53	0.01	0
393	7/7/2016 6:56	0.01	0
394	7/7/2016 6:59	0.01	0
395	7/7/2016 7:02	0.01	0
396	7/7/2016 7:05	0.01	0
397	7/7/2016 7:08	0.01	0
398	7/7/2016 7:11	0.01	0
399	7/7/2016 7:14	0.01	0
400	7/7/2016 7:17	0.01	0
401	7/7/2016 7:20	0.01	0
402	7/7/2016 7:23	0.01	0
403	7/7/2016 7:26	0.01	0
404	7/7/2016 7:29	0.01	0
405	7/7/2016 7:32	0.01	0
406	7/7/2016 7:35	0.01	0
407	7/7/2016 7:38	0.01	0
408	7/7/2016 7:41	0.01	0
409	7/7/2016 7:44	0.01	0
410	7/7/2016 7:47	0.01	0
411	7/7/2016 7:50	0.01	0
412	7/7/2016 7:53	0.01	0
413	7/7/2016 7:56	0.01	0
414	7/7/2016 7:59	0.01	0
415	7/7/2016 8:02	0.01	0
416	7/7/2016 8:05	0.01	0
417	7/7/2016 8:08	0.01	0
418	7/7/2016 8:11	0.01	0
419	7/7/2016 8:14	0.01	0
420	7/7/2016 8:17	0.01	0
421	7/7/2016 8:20	0.01	0
422	7/7/2016 8:23	0.01	0
423	7/7/2016 8:26	0.01	0
424	7/7/2016 8:29	0.01	0
425	7/7/2016 8:32	0.01	0
426	7/7/2016 8:35	0.01	0
427	7/7/2016 8:38	0.01	0
428	7/7/2016 8:41	0.01	0
429	7/7/2016 8:44	0.01	0
430	7/7/2016 8:47	0.01	0
431	7/7/2016 8:50	0.01	0
432	7/7/2016 8:53	0.01	0
433	7/7/2016 8:56	0.01	0
434	7/7/2016 8:59	0.01	0
435	7/7/2016 9:02	0.01	0
